,Date,Volume,Turnover,Open,High,Low,Close
0,107/01/02,"18,055,269","4,188,555,408",231.50,232.50,231.00,232.50
1,107/01/03,"31,706,091","7,504,382,512",236.00,238.00,235.50,237.00
2,107/01/04,"29,179,613","6,963,192,636",240.00,240.00,236.50,239.50
3,107/01/05,"23,721,255","5,681,934,695",240.00,240.00,238.00,240.00
4,107/01/08,"21,846,692","5,281,823,362",242.00,242.50,240.50,242.00
5,107/01/09,"19,043,123","4,588,314,012",242.00,242.00,239.50,242.00
6,107/01/10,"25,716,220","6,118,683,273",241.50,242.00,236.00,236.50
7,107/01/11,"32,070,338","7,500,674,455",235.00,236.00,232.50,235.00
8,107/01/12,"23,141,291","5,463,302,207",234.50,238.00,233.50,237.00
9,107/01/15,"28,576,533","6,832,851,887",240.00,240.00,238.00,240.00
10,107/01/16,"23,407,632","5,609,009,540",240.00,240.50,238.00,240.50
11,107/01/17,"38,118,119","9,207,582,787",240.50,243.00,239.00,242.00
12,107/01/18,"50,119,952","12,406,562,364",245.00,250.00,245.00,248.50
13,107/01/19,"55,061,292","13,975,174,348",253.50,255.50,251.50,255.50
14,107/01/22,"45,907,509","11,934,882,643",257.50,262.00,257.00,261.50
15,107/01/23,"34,606,444","9,155,080,569",262.50,266.00,262.50,266.00
16,107/01/24,"42,600,813","11,022,372,004",263.00,263.00,256.50,258.00
17,107/01/25,"46,214,756","11,981,089,514",258.00,264.00,256.50,258.00
18,107/01/26,"43,514,523","11,101,977,348",256.50,257.50,253.50,255.00
19,107/01/29,"31,306,234","8,067,780,117",259.00,261.50,255.00,258.50
20,107/01/30,"37,410,591","9,523,980,994",256.00,257.50,252.50,253.00
21,107/01/31,"45,807,808","11,670,582,000",253.00,257.50,252.00,255.00
0,107/02/01,"30,900,457","8,022,694,430",257.50,261.00,257.00,259.50
1,107/02/02,"25,707,560","6,633,344,540",259.00,260.00,255.00,259.50
2,107/02/05,"46,554,379","11,742,299,859",251.00,254.50,250.50,253.00
3,107/02/06,"104,448,048","24,944,565,955",242.50,243.50,234.00,239.00
4,107/02/07,"82,299,178","19,903,032,966",245.00,245.50,239.50,240.00
5,107/02/08,"31,192,550","7,468,970,072",239.50,242.00,238.00,238.50
6,107/02/09,"65,939,265","15,227,192,540",230.00,233.00,228.50,232.50
7,107/02/12,"42,917,236","10,113,012,768",235.50,237.50,235.00,236.50
8,107/02/21,"76,396,174","18,582,475,956",244.50,244.50,242.00,242.50
9,107/02/22,"45,492,993","10,977,665,819",244.00,244.00,239.00,239.50
10,107/02/23,"26,985,776","6,578,657,620",241.00,245.00,241.00,245.00
11,107/02/26,"36,165,810","8,910,352,170",247.00,247.50,245.00,246.50
12,107/02/27,"44,699,119","11,061,945,363",250.50,250.50,246.00,246.00
0,107/03/01,"43,847,984","10,669,194,561",244.00,245.00,242.00,243.00
1,107/03/02,"35,289,170","8,453,712,014",240.00,241.00,238.50,240.00
2,107/03/05,"27,337,846","6,607,367,732",242.50,243.00,240.50,241.50
3,107/03/06,"36,945,780","9,155,812,210",245.50,250.00,245.50,250.00
4,107/03/07,"30,391,219","7,525,601,638",248.00,248.50,246.00,247.00
5,107/03/08,"20,645,694","5,172,732,531",249.50,251.50,249.00,249.50
6,107/03/09,"22,887,063","5,723,277,170",250.00,251.00,248.50,250.50
7,107/03/12,"25,100,615","6,370,529,728",252.00,255.00,251.50,254.00
8,107/03/13,"34,264,883","8,816,553,606",255.50,259.00,255.00,259.00
9,107/03/14,"24,254,838","6,220,805,864",256.50,257.50,255.50,257.00
10,107/03/15,"19,396,493","4,965,546,715",258.00,258.00,255.00,255.00
11,107/03/16,"62,989,326","15,930,805,360",253.00,256.00,249.50,255.00
12,107/03/19,"22,440,766","5,679,567,964",252.50,255.50,251.00,255.00
13,107/03/20,"22,335,151","5,640,426,203",253.00,254.00,251.50,253.00
14,107/03/21,"32,977,737","8,325,162,114",255.00,255.00,251.00,252.50
15,107/03/22,"27,000,718","6,797,045,014",254.50,254.50,249.50,251.50
16,107/03/23,"52,974,390","12,994,667,867",245.00,247.00,244.00,245.00
17,107/03/26,"39,487,945","9,582,954,454",241.50,244.50,241.50,243.50
18,107/03/27,"31,100,260","7,732,298,021",248.00,251.00,247.00,251.00
19,107/03/28,"29,924,411","7,349,468,217",247.50,248.00,244.00,245.00
20,107/03/29,"36,427,345","8,888,435,870",243.00,247.00,242.50,244.00
21,107/03/30,"16,996,346","4,212,690,462",247.50,249.50,246.00,246.00
22,107/03/31,"3,603,912","893,664,176",247.50,249.00,246.50,247.50
0,107/04/02,"19,029,003","4,702,581,241",248.50,249.00,245.00,246.50
1,107/04/03,"35,813,944","8,710,200,224",243.00,244.50,242.00,244.00
2,107/04/09,"35,465,824","8,716,801,768",248.00,248.00,243.50,245.00
3,107/04/10,"25,268,994","6,231,896,018",244.50,249.00,243.50,245.50
4,107/04/11,"21,777,935","5,391,978,180",246.50,248.50,246.50,248.00
5,107/04/12,"20,476,657","5,028,226,522",248.50,248.50,244.00,245.00
6,107/04/13,"19,946,548","4,885,963,546",246.00,246.00,244.00,244.50
7,107/04/16,"21,608,528","5,251,556,179",243.00,244.00,242.00,243.50
8,107/04/17,"42,756,389","10,232,256,860",243.00,243.50,237.50,238.00
9,107/04/18,"44,768,048","10,668,587,090",239.50,241.50,236.50,238.00
10,107/04/19,"33,230,989","8,081,404,960",242.00,244.50,241.00,244.50
11,107/04/20,"129,890,087","29,837,344,632",228.00,231.50,228.00,229.00
12,107/04/23,"71,901,975","16,282,275,410",226.50,227.50,225.00,226.50
13,107/04/24,"45,206,892","10,233,860,296",225.00,227.50,225.00,227.00
14,107/04/25,"48,975,110","11,032,111,105",225.50,226.00,224.00,225.00
15,107/04/26,"48,176,657","10,766,085,521",225.00,225.50,221.00,222.00
16,107/04/27,"34,443,459","7,679,131,764",225.00,225.50,221.00,223.50
17,107/04/30,"28,500,789","6,448,117,416",224.50,228.00,222.50,227.00
0,107/05/02,"38,436,942","8,633,492,540",227.00,227.50,222.50,223.00
1,107/05/03,"33,507,731","7,399,813,831",221.00,222.50,220.00,220.50
